"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"稼ぐ","かせぐ","to earn (income), to make (money); to score (points, victory), to gain (time), to play (for time); to work hard (at one's job), to labor, to labour, to toil"
"数える","かぞえる","to count, to enumerate"
"型","かた, がた","type, style, model, pattern; mold, mould, model, pattern, template, impression; kata (set sequence of positions and movements in martial arts), style (in kabuki, noh, etc.), form; convention, tradition, (standard) form, formula, usage; (set) size, inches (in sizes of displays, disks, image sensors, etc.); (taxonomical) form"
"肩","かた","shoulder"
"硬い","かたい","hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy"
"方々","かたがた","people, (all) persons, everyone, ladies and gentlemen; you (usu. plural)"
"刀","かたな, とう","sword (esp. Japanese single-edged), katana; scalpel; chisel, burin, graver; knife money (knife-shaped commodity money used in ancient China)"
"語る","かたる","to talk about, to speak of, to tell, to narrate; to recite, to chant; to indicate, to show"
"勝ち","かち","win, victory"
"価値","かち","value, worth, merit"
"活気","かっき","energy, vigour, vigor, liveliness, spirit, life, animation"
"格好","かっこう, かっこ, カッコ","shape, form, figure, posture, pose; appearance, style; state, situation; suitable, fit, reasonable; about"
"活動","かつどう","activity (of a person, organization, animal, volcano, etc.), action, operation; moving picture"
"活用","かつよう","practical use, application, making good use of, putting to good use, capitalizing on; conjugation, inflection"
"悲しむ","かなしむ","to be sad, to mourn for, to regret"
"必ずしも","かならずしも","(not) always, (not) necessarily, (not) entirely, (not) all"
"可也","かなり","considerably, fairly, quite, rather, pretty"
"金","かね, かな","money; metal"
"金持ち","かねもち","rich person, wealthy person"
"可能","かのう","possible, potential, practicable, feasible"
"株","かぶ","stock, share; stump; (clump of) roots, plant with attached roots or stem; strain (of bacteria, etc.); stock company, corporation, kabushiki kaisha, KK; goodwill (of a business), privilege (that comes with a role); reputation, standing, popularity; one's forte"
"被る","かぶる, かむる","to put on (one's head), to wear, to have on, to pull over (one's head), to crown (oneself); to be covered with (dust, snow, etc.), to pour (water, etc.) on oneself, to dash on oneself, to ship water; to bear (e.g. someone's debts, faults, etc.), to take (blame), to assume (responsibility), to shoulder (burden); to overlap (e.g. sound or color); to be similar, to be redundant; to be fogged (due to overexposure, etc.); to close, to come to an end; to get a full house, to sell out; to blunder, to bungle, to fail; to be deceived"
"構う","かまう","to mind, to care about, to be concerned about, to have a regard for; to be an issue, to matter, to create inconvenience; to keep company, to care for, to look after, to entertain, to pay attention to, to spend time with; to interfere with, to meddle in; to tease; to banish, to prohibit"
"神","かみ","god, deity, divinity, spirit, kami; incredible, fantastic, amazing; Emperor (of Japan); thunder"
"上","かみ","upper reaches (of a river), upper stream; top, upper part, upper half (of the body); long ago; beginning, first; person of high rank (e.g. the emperor); government, imperial court; imperial capital (i.e. Kyoto), capital region (i.e. Kansai), region (or direction of) the imperial palace; head (of a table); wife, mistress (of a restaurant)"
"雷","かみなり, いかずち, らい, いかづち","lightning, thunder, thunderbolt; god of thunder, god of lightning; anger, fit of anger"
"髪の毛","かみのけ","hair (on the head), (a) hair"
"科目","かもく","(school) subject, curriculum, course; item, heading, entry"
"かも知れない","かもしれない","may, might, perhaps, may be, possibly"
"火曜","かよう","Tuesday"
"空","から, カラ","emptiness, being empty; not carrying anything, unburdened, empty-handed; dishonoured (bill, promise, etc.), false, no-show (reservation), put-on (cheeriness, courage, etc.), empty (compliments), insincere"
"刈る","かる","to cut (grass, hair, etc.), to mow, to clip, to trim, to prune, to shear, to reap, to harvest"
"彼ら","かれら","they, them"
"革","かわ","leather"
"川","かわ, がわ","river, stream; River, the ... river"
"皮","かわ","skin, hide, pelt, fur; rind, peel, husk, bark; shell, sheath, wrapping; mask (hiding one's true nature), seeming"
"可哀想","かわいそう","poor, pitiable, pathetic, pitiful"
"可愛らしい","かわいらしい","lovely, sweet, pretty, cute, adorable"
"缶","かん, カン","can, tin; canned food"
"管","かん, くだ","pipe, tube"
"勘","かん","perception, intuition, the sixth sense"
"感覚","かんかく","sense, sensation, feeling, intuition"
"考え","かんがえ","thinking, thought, view, opinion, concept; idea, notion, imagination; intention, plan, design; consideration, judgement, deliberation, reflection; wish, hope, expectation"
"観客","かんきゃく, かんかく","spectator, audience"
"環境","かんきょう","environment, surroundings, circumstances"
"歓迎","かんげい","welcome, (warm) reception"
"観光","かんこう","sightseeing, tourism"
"観察","かんさつ","observation, survey, watching"
"感謝","かんしゃ","thanks, gratitude, appreciation, thankfulness"
"感心","かんしん","admiration, being impressed; admirable, praiseworthy; astonishment, being appalled"
"関心","かんしん","concern, interest"
"感じ","かんじ","feeling, sense, impression"
"患者","かんじゃ","patient"
"勘定","かんじょう","calculation, computation, counting, reckoning, count; bill, check, account, payment (of a bill), settlement (of an account); consideration, allowance"
"感情","かんじょう","emotion, feeling, feelings, sentiment"
"感じる","かんじる","to feel, to sense, to experience; to be moved (by), to be touched (by), to be impressed (by), to respond (to); to become infected with (an illness), to catch"
"関する","かんする","to concern, to be related"
"完成","かんせい","completion, perfection, accomplishment"
"完全","かんぜん","perfect, complete"
"監督","かんとく","supervision, control, superintendence, direction; director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
"感動","かんどう","being deeply moved emotionally, excitement, passion, inspiration, deep emotion, strong impression"
"管理","かんり","control, management (e.g. of a business)"
"完了","かんりょう","completion, conclusion; perfect (tense)"
"関連","かんれん","relation, connection, relevance"
"","カー","car"
"","カード","curd"
"害","がい","injury, harm, evil influence, damage"
"外交","がいこう","diplomacy; selling (e.g. door-to-door), canvassing"
"外出","がいしゅつ, そとで","going out, outing, leaving (one's home, office, etc.)"
"画家","がか","painter, artist"
"学","がく","learning, scholarship, study, erudition, knowledge, education; study of ..., -ology, -ics"
"額","がく","(picture) frame, framed picture; amount (esp. of money), sum"
"学者","がくしゃ","scholar, academic, scientist; learned person, person of learning"
"学習","がくしゅう","learning, study"
"学問","がくもん","study, scholarship, learning, education, knowledge; discipline, branch of learning, (a) science"
"","がっかり, ガッカリ","to be disappointed, to be dejected, to be downhearted, to be discouraged, to be disheartened, to lose heart, to feel let down; to feel exhausted, to feel drained"
"学期","がっき","school term, semester"
"我慢","がまん, ガマン","endurance, patience, perseverance, bearing (with something); self-control, self-restraint"
"柄","がら","pattern, design; body build, figure, physique; essential qualities, character, nature; appropriate to, fitting of, suitable for"
"含嗽","がんそう, うがい","gargling, rinsing one's mouth"
"記憶","きおく","memory, recollection, remembrance; memory, storage"
"気温","きおん","(air) temperature"
"機械","きかい","machine, mechanism; instrument, appliance, apparatus"
"期間","きかん","period, term, interval"
"機関","きかん","engine; agency, organisation, organization, institution, organ, body; system, facility, facilities"
"企業","きぎょう","enterprise, business, company, corporation"
"効く","きく","to be effective, to take effect, to be good (for); to work, to function well; to be possible (to do, use, etc.), to be able to; to taste (alcohol), to try"
